niv_active_side,quarter,technology,technology_sp_weight,side_quarter_sp_weight,share,share_pct
bid,2025Q3,NEMO,15.0,2434.0,0.006162695152013147,0.6162695152013147
bid,2025Q3,OCGT,13.833333333333334,2434.0,0.00568337441796768,0.568337441796768
bid,2025Q3,Eleclink,8.0,2434.0,0.003286770747740345,0.3286770747740345
bid,2025Q3,IFA,8.0,2434.0,0.003286770747740345,0.3286770747740345
bid,2025Q3,SOLAR,6.0,2434.0,0.0024650780608052587,0.24650780608052586
bid,2025Q3,GAS,4.0,2434.0,0.0016433853738701725,0.16433853738701726
bid,2025Q3,BritNed,3.0,2434.0,0.0012325390304026294,0.12325390304026293
bid,2025Q4,BATTERY,815.6238095238095,2255.0,0.36169570267131246,36.16957026713125
bid,2025Q4,CCGT,758.25,2255.0,0.33625277161862527,33.62527716186253
bid,2025Q4,OTHER,244.17619047619047,2255.0,0.10828212437968535,10.828212437968535
bid,2025Q4,WIND,127.0,2255.0,0.05631929046563193,5.631929046563193
bid,2025Q4,PS,119.33333333333333,2255.0,0.05291943828529194,5.291943828529194
bid,2025Q4,BIOMASS,75.0,2255.0,0.03325942350332594,3.325942350332594
bid,2025Q4,DSR,55.61666666666667,2255.0,0.024663710273466373,2.4663710273466375
bid,2025Q4,NPSHYD,22.5,2255.0,0.009977827050997782,0.9977827050997782
bid,2025Q4,OCGT,21.5,2255.0,0.009534368070953437,0.9534368070953437
bid,2025Q4,BritNed,3.0,2255.0,0.0013303769401330377,0.13303769401330376
bid,2025Q4,IFA2,3.0,2255.0,0.0013303769401330377,0.13303769401330376
bid,2025Q4,NEMO,3.0,2255.0,0.0013303769401330377,0.13303769401330376
bid,2025Q4,DIESEL,2.0,2255.0,0.0008869179600886918,0.08869179600886917
bid,2025Q4,Eleclink,2.0,2255.0,0.0008869179600886918,0.08869179600886917
bid,2025Q4,Viking,2.0,2255.0,0.0008869179600886918,0.08869179600886917
bid,2025Q4,GAS,1.0,2255.0,0.0004434589800443459,0.044345898004434586
offer,2023Q1,CCGT,1146.0833333333333,2162.0,0.5301032994141227,53.01032994141227
offer,2023Q1,PS,720.3333333333334,2162.0,0.33317915510329943,33.31791551032994
offer,2023Q1,BATTERY,69.05839029391662,2162.0,0.031941901153522946,3.1941901153522947
offer,2023Q1,NPSHYD,46.5,2162.0,0.02150786308973173,2.150786308973173
offer,2023Q1,OTHER,43.85001840264998,2162.0,0.020282154672826076,2.0282154672826076
offer,2023Q1,BIOMASS,36.5,2162.0,0.016882516188714152,1.6882516188714152
offer,2023Q1,COAL,26.333333333333332,2162.0,0.012180080172679617,1.2180080172679617
offer,2023Q1,DSR,19.22041905462958,2162.0,0.00889011057105901,0.889011057105901
offer,2023Q1,OCGT,16.455263157894738,2162.0,0.007611130045279712,0.7611130045279713
