side,marginal_bmu_id,technology_key,n_marginal_sps,tie_adjusted_weight,p05_system_price,p25_system_price,median_system_price,p75_system_price,p95_system_price,marginal_side_share_pct,technology_side_median_system_price,p05_system_price_deviation,p25_system_price_deviation,median_system_price_deviation,p75_system_price_deviation,p95_system_price_deviation,registered_capacity_mw,plant_family,lead_party,displayed_in_figure
OFFER,T_CNQPS-2,CCGT,283,257.34285714285716,89.19921138350763,103.97999999999999,117.95,139.6,257.9999999999998,1.0859723051139687,113.9,-24.700788616492375,-9.920000000000016,4.049999999999997,25.69999999999999,144.09999999999977,352.0,T_CNQPS,Uniper UK Limited,False
OFFER,T_FFES-2,PS,255,244.33333333333334,91.562,103.475,117.8,134.0,167.59999999999997,1.031072850290473,119.0,-27.438000000000002,-15.525000000000006,-1.2000000000000028,15.0,48.599999999999966,91.875,T_FFES,First Hydro Company,False
OFFER,T_CNQPS-4,CCGT,265,243.66666666666666,88.586,104.5,116.9,131.27,181.28799999999998,1.0282595546553008,113.9,-25.314000000000007,-9.400000000000006,3.0,17.370000000000005,67.38799999999998,352.0,T_CNQPS,Uniper UK Limited,False
OFFER,T_CNQPS-3,CCGT,251,236.68333333333334,89.0,104.0,118.5,135.47413654025803,183.685,0.9987902828768761,113.9,-24.900000000000006,-9.900000000000006,4.599999999999994,21.574136540258024,69.785,352.0,T_CNQPS,Uniper UK Limited,False
OFFER,T_FOYE-1,PS,247,230.8373015873016,85.054,104.0,124.5702,150.0,201.49999999999994,0.9741203594855956,119.0,-33.946,-15.0,5.5702,31.0,82.49999999999994,160.0,T_FOYE,SSE Generation Ltd,False
OFFER,E_SHOS-1,CCGT,255,219.11666666666667,75.0,90.9,104.0,124.625,187.0,0.9246599428900987,113.9,-38.900000000000006,-23.0,-9.900000000000006,10.724999999999994,73.1,460.0,E_SHOS,VPI Power Limited,False
OFFER,T_GRAI-8,CCGT,305,206.65,80.0,98.0,108.0,129.0,199.8,0.8720513145123855,113.9,-33.900000000000006,-15.900000000000006,-5.900000000000006,15.099999999999994,85.9,468.0,T_GRAI,Uniper UK Limited,False
OFFER,T_DINO-5,PS,209,206.0,79.0,96.9,132.4,195.0,228.94799999999998,0.869308351268093,119.0,-40.0,-22.099999999999994,13.400000000000006,76.0,109.94799999999998,320.0,T_DINO,First Hydro Company,False
OFFER,T_CNQPS-1,CCGT,211,193.75,86.7,101.07,120.0,148.975,215.0,0.8176140439718108,113.9,-27.200000000000003,-12.830000000000013,6.099999999999994,35.07499999999999,101.1,351.162,T_CNQPS,Uniper UK Limited,False
OFFER,T_FOYE-2,PS,195,185.54166666666666,90.76062532256697,104.175,120.0,148.85,200.0,0.7829753414637576,119.0,-28.239374677433034,-14.825000000000003,1.0,29.849999999999994,81.0,160.0,T_FOYE,SSE Generation Ltd,False
OFFER,T_WBURB-2,CCGT,193,179.36666666666667,76.75599999999999,93.5,103.0,126.0,193.19999999999993,0.7569171906429788,113.9,-37.14400000000002,-20.400000000000006,-10.900000000000006,12.099999999999994,79.29999999999993,470.0,T_WBURB_CC,West Burton B Limited,False
OFFER,T_LAGA-1,CCGT,171,168.5,83.0,100.20580340718615,114.5,129.45999999999998,159.0,0.711060471789678,113.9,-30.900000000000006,-13.694196592813853,0.5999999999999943,15.559999999999974,45.099999999999994,905.0,T_LAGA,EP UK INVESTMENTS LIMITED,False
OFFER,T_SCCL-1,CCGT,174,162.33333333333334,78.76,100.0,112.38,131.48499999999999,195.0,0.6850374871643387,113.9,-35.14,-13.900000000000006,-1.5200000000000102,17.58499999999998,81.1,408.2,T_SCCL,SCCL,False
OFFER,T_MEDP-1,CCGT,164,156.66666666666666,90.0795195,99.0,111.45,130.0,179.41416318261193,0.6611244742653781,113.9,-23.820480500000002,-14.900000000000006,-2.450000000000003,16.099999999999994,65.51416318261192,750.0,T_MEDP,Medway Power Ltd,False
OFFER,T_GRAI-7,CCGT,234,153.95,70.131,93.125,105.055,119.9,136.999935,0.6496602945520529,113.9,-43.769000000000005,-20.775000000000006,-8.844999999999999,6.0,23.099934999999988,468.0,T_GRAI,Uniper UK Limited,False
OFFER,T_CRUA-4,PS,163,152.13333333333333,90.95900800000001,109.62,126.9,159.575,215.0,0.6419940639462097,119.0,-28.04099199999999,-9.379999999999995,7.900000000000006,40.57499999999999,96.0,104.0,T_CRUA,Drax Pumped Storage Limited,False
OFFER,T_KEAD-2,CCGT,152,146.58333333333334,60.0,85.73,94.975,100.0,119.55249999999997,0.6185733777834044,113.9,-53.900000000000006,-28.17,-18.92500000000001,-13.900000000000006,5.652499999999961,890.0,T_KEAD,Keadby Generation Limited,False
OFFER,T_GRAI-6,CCGT,215,143.83333333333334,66.474,88.59,99.69,112.5,144.29999999999998,0.6069685332883207,113.9,-47.426,-25.310000000000002,-14.210000000000008,-1.4000000000000057,30.399999999999977,468.0,T_GRAI,Uniper UK Limited,False
