tie_adjusted_rank,bmu_id,technology,plant_family,lead_party,registered_capacity_mw,marginal_occurrences,bid_weight,offer_weight,tie_adjusted_weight,share_all_sps_pct,bid_share_all_sps_pct,offer_share_all_sps_pct,dominant_side,dominant_side_share
234,2__AFLEX004,DSR,2__AFLEX,Flexitricity Limited,49.0,122,0.16666666666666666,33.98948449211607,34.156151158782734,0.06739040162335792,0.0003288348722805356,0.0670615667510774,Offer,0.9951204494355387
235,2__NHPOW002,NPSHYD,2__NHPOW,Drax Energy Solutions Limited,108.0,36,33.5,0.5,34.0,0.06708231394522926,0.06609580932838766,0.000986504616841607,Bid,0.9852941176470589
236,T_HOWAO-2,WIND,T_HOWAO,Hornsea 1 Limited,400.0,74,33.0,0.4,33.4,0.06589850840501933,0.06510930471154605,0.0007892036934732855,Bid,0.9880239520958084
237,2__LANGE001,DSR,2__LANGE,Limejump Energy Limited,65.0,80,21.686580086580086,11.508170995670996,33.19475108225108,0.06549355039509723,0.04278782275783302,0.02270572763726422,Bid,0.6533135323968643
238,2__AFLEX005,DSR,2__AFLEX,Flexitricity Limited,49.0,110,2.166666666666667,30.982341634973213,33.14900830163988,0.065403299466577,0.004274853339646964,0.061128446126930025,Offer,0.9346385675568013
239,T_SOKYW-1,WIND,T_SOKYW,South Kyle Wind Farm Limited,426.916,34,32.7,0.0,32.7,0.0645174019414411,0.0645174019414411,0.0,Bid,1.0
240,E_DBFRM-1,DIESEL,E_DBFRM,Conrad Energy (Trading) Ltd,20.0,69,1.6111111111111112,31.08291153291153,32.694022644022645,0.06450560856290476,0.0031787370987118443,0.061326871464192904,Offer,0.9507215392656594
241,2__GSTAT010,BATTERY,2__GSTAT_B,Statkraft Markets Gmbh,16.0,36,1.0625,31.5,32.5625,0.06424611317180964,0.0020963223107884144,0.06214979086102123,Offer,0.9673704414587332
242,2__AFLEX003,DSR,2__AFLEX,Flexitricity Limited,49.0,113,1.1666666666666667,31.355992983624564,32.52265965029123,0.06416750779396108,0.0023018441059637494,0.06186566368799733,Offer,0.9641275750749917
243,2__GSTAT009,BATTERY,2__GSTAT_B,Statkraft Markets Gmbh,16.45,38,21.102777777777778,11.125,32.227777777777774,0.06358570313664623,0.04163597541192048,0.02194972772472575,Bid,0.654800896397173
244,I_IBD-DSKC1,BritNed,I_IBD-DSKC,Danske Commodities A/S,,32,32.0,0.0,32.0,0.06313629547786284,0.06313629547786284,0.0,Bid,1.0
245,T_WHILW-2,WIND,T_WHILW,SP Renewables (UK) Limited,206.0,32,32.0,0.0,32.0,0.06313629547786284,0.06313629547786284,0.0,Bid,1.0
246,2__BFLEX004,DSR,2__BFLEX,Flexitricity Limited,49.0,65,17.792857142857144,13.869047619047619,31.661904761904765,0.06246923045123662,0.03510547143646347,0.027363759014773142,Bid,0.5619642051436307
247,2__EFLEX003,DSR,2__EFLEX,Flexitricity Limited,49.0,69,0.0,31.42979797979798,31.42979797979798,0.062011281626939425,0.0,0.062011281626939425,Offer,1.0
248,2__NFSEN007,OTHER,2__NFSEN,F & S Energy Ltd,30.674,36,16.09090909090909,15.2,31.29090909090909,0.06173725256670565,0.0317475122147208,0.02998974035198485,Bid,0.5142359093550262
