side,replacement_marginal_bmu,replacement_marginal_technology,raw_battery_unit_periods,tie_adjusted_sp_equivalents,lead_party,years_present,distinct_settlement_periods,tie_adjusted_share_within_side,tie_adjusted_rank_within_side
bid,T_WBURB-1,CCGT,16,15.0,West Burton B Limited,"2023, 2024, 2025",15,0.0030762920426579163,90
bid,V__NFLEX001,LOAD RESPONSE,16,15.0,Flexitricity Limited,"2024, 2025",15,0.0030762920426579163,91
bid,2__MFLEX002,LOAD RESPONSE,22,14.6,Flexitricity Limited,"2023, 2024",15,0.0029942575881870383,92
bid,T_SEEL-1,OCGT,23,14.416666666666666,Spalding Energy Expansion Ltd,"2023, 2024, 2025",16,0.0029566584632212197,93
bid,T_CNQPS-2,CCGT,16,14.333333333333334,Uniper UK Limited,"2023, 2024, 2025",15,0.00293956795187312,94
bid,E_SEVINGTN,GAS,17,14.0,UK Power Reserve Limited,"2024, 2025",14,0.002871205906480722,95
bid,T_DINO-5,PS,14,14.0,First Hydro Company,"2024, 2025",14,0.002871205906480722,96
bid,T_GRAI-6,CCGT,23,14.0,Uniper UK Limited,"2023, 2024, 2025",14,0.002871205906480722,97
bid,E_BLARW-1,WIND,21,13.0,Erova Energy Limited,2025,13,0.0026661197703035273,98
bid,T_FFES-2,PS,15,13.0,First Hydro Company,"2023, 2024, 2025",13,0.0026661197703035273,99
bid,T_RYHPS-1,CCGT,16,13.0,VPI Power Limited,"2024, 2025",13,0.0026661197703035273,100
bid,T_STAY-4,CCGT,14,13.0,RWE Generation UK plc,"2023, 2024, 2025",13,0.0026661197703035273,101
bid,T_SUTB-1,CCGT,14,13.0,SUTTON BRIDGE POWER GENERATION,"2023, 2024, 2025",13,0.0026661197703035273,102
bid,T_MEDP-1,CCGT,20,12.666666666666666,Medway Power Ltd,"2023, 2024, 2025",13,0.0025977577249111294,103
bid,E_TAYL2G,OCGT,13,12.0,Uniper UK Limited,"2024, 2025",12,0.002461033634126333,104
bid,T_CRUA-4,PS,16,12.0,Drax Pumped Storage Limited,"2023, 2024, 2025",12,0.002461033634126333,105
bid,T_DRAXX-1,BIOMASS,13,12.0,Drax Power Ltd,"2023, 2024, 2025",12,0.002461033634126333,106
bid,T_GLNKW-1,WIND,12,12.0,EDF Energy Customers Limited,2025,12,0.002461033634126333,107
